Year,Statistic,Name(s),Team(s),#,Top 25
1901,Batting Average,Nap Lajoie,Philadelphia,.426,Top 25
1901,Slugging Average,Nap Lajoie,Philadelphia,.643,Top 25
1902,Batting Average,Ed Delahanty,Washington,.376,Top 25
1902,Slugging Average,Ed Delahanty,Washington,.590,Top 25
1903,Batting Average,Nap Lajoie,Cleveland,.344,Top 25
1903,Slugging Average,Nap Lajoie,Cleveland,.518,Top 25
